# Thai words with more than one recorded reading (WikiPron), most frequent first.
# class: sandhi = linking form inside a Pali/Sanskrit compound (positional, the
#   dictionary already carries it on the compound); tone-only / vowel-length =
#   two accepted transcriptions of one word; letter-names = the spelling-out
#   reading; REVIEW = none of those, so possibly a true heteronym.
# Only REVIEW rows need a human. For each, say whether the two readings mean
#   DIFFERENT things (write y) or are both acceptable for the same word (n),
#   and if y, list words that signal the second reading.
freq	word	class	ours	readings	different_meaning	cue_words
1061	สามัญชน	REVIEW	saː˩˩˦man˧tɕʰon˧	saː˩˩˦man˧ja˦˥tɕʰon˧ | saː˩˩˦man˧tɕʰon˧		
1047	ภาชนะ	REVIEW	pʰaː˧tɕʰa˦˥naʔ˦˥	pʰaːt̚˥˩tɕʰa˦˥naʔ˦˥ | pʰaː˧tɕʰa˦˥naʔ˦˥		
1045	ประพฤติ	sandhi	pra˨˩pʰrɯt̚˦˥	pra˨˩pʰrɯt̚˦˥ | pra˨˩pʰrɯt̚˦˥ti˨˩		
1042	ประณาม	sandhi	pra˨˩naːm˧	pra˨˩naːm˧ | pra˨˩naːm˧ma˦˥		
1034	วาฬ	sandhi	waːn˧	waːn˧ | waː˧la˦˥		
1026	พลี	REVIEW	pʰliː˧	pʰa˦˥liː˧ | pʰliː˧		
1019	สุพรรณ	sandhi	su˨˩pʰan˧	su˨˩pʰan˧ | su˨˩pʰan˧na˦˥		
1016	ประวัติการ	REVIEW	pra˨˩wat̚˨˩ti˨˩kaːn˧	pra˨˩wat̚˨˩kaːn˧ | pra˨˩wat̚˨˩ti˨˩kaːn˧		
1013	พิพิธ	sandhi	pʰi˦˥pʰit̚˦˥	pʰi˦˥pʰit̚˦˥ | pʰi˦˥pʰit̚˦˥tʰa˦˥		
1006	ประมวล	tone-only	pra˨˩muan˧	pra˧mua̯n˧ | pra˨˩mua̯n˧		
1006	คองโก	tone-only	kʰɔŋ˧koː˧	kʰɔŋ˧koː˥˩ | kʰɔŋ˧koː˧		
1001	ถ	sandhi	tʰɔː˩˩˦	tʰɔː˩˩˦ | tʰɔː˩˩˦tʰuŋ˩˩˦		
990	เจล	vowel-length	tɕeːl˧	tɕel˧ | tɕeːl˧		
988	เคเบิล	REVIEW	kʰeː˧bɤn˥˩	kʰeː˧bɤl˥˩ | kʰeː˧bɤn˥˩		
982	สมมุติ	sandhi	som˩˩˦mut̚˦˥	som˩˩˦mut̚˦˥ | som˩˩˦mut̚˦˥ti˨˩		
982	ยโสธร	REVIEW	ja˦˥soː˩˩˦tʰɔːn˧	ja˦˥soː˩˩˦tʰa˦˥ra˦˥ | ja˦˥soː˩˩˦tʰɔːn˧		
967	เกตุ	REVIEW	keːt̚˨˩	keːt̚˨˩ | keː˧tu˨˩		
958	เบสบอล	REVIEW	beːs˦˥bɔn˧	beːs˦˥bɔn˧ | beːs˦˥bɔːl˧		
958	เซิร์ฟเวอร์	REVIEW	sɤːp̚˦˥wɤː˥˩	sɤːf˦˥wɤː˥˩ | sɤːp̚˦˥wɤː˥˩		
957	แรด	vowel-length	rɛt̚˥˩	rɛt̚˥˩ | rɛːt̚˥˩		
955	รามาธิบดี	REVIEW	raː˧maː˧tʰi˦˥bɔː˧diː˧	raː˧maː˧tʰip̚˦˥bɔː˧diː˧ | raː˧maː˧tʰi˦˥bɔː˧diː˧		
954	ทศ	sandhi	tʰot̚˦˥	tʰa˦˥saʔ˨˩ | tʰot̚˦˥ | tʰot̚˦˥sa˨˩		
951	เจ้าจอม	vowel-length	tɕaːw˥˩tɕɔːm˧	tɕaw˥˩tɕɔːm˧ | tɕaːw˥˩tɕɔːm˧		
945	ศาสตร	REVIEW	saːt̚˨˩	saːt̚˨˩sa˨˩tra˨˩ | saːt̚˨˩tra˨˩		
940	เบลารุส	REVIEW	beː˧laː˧rut̚˦˥	beː˧laː˧rus˦˥ | beː˧laː˧rut̚˦˥		
938	ธนบัตร	REVIEW	tʰa˦˥na˦˥bat̚˨˩	tʰa˦˥na˦˥bat̚˨˩ | tʰon˧na˦˥bat̚˨˩		
937	ฮอลลีวูด	tone-only	hɔːn˧liː˧wuːt̚˥˩	hɔn˧liː˧wuːt̚˦˥ | hɔn˧liː˧wuːt̚˨˩		
935	แย่ง	vowel-length	jɛːŋ˥˩	jɛŋ˥˩ | jɛːŋ˥˩		
930	แสตมป์	vowel-length	sa˨˩tɛːm˧	sa˨˩tɛm˧ | sa˨˩tɛːm˧		
926	มนุษยศาสตร์	REVIEW	ma˦˥nut̚˦˥saːt̚˨˩	ma˦˥nut̚˦˥saːt̚˨˩ | ma˦˥nut̚˦˥sa˨˩ja˦˥saːt̚˨˩		
921	แคลเซียม	vowel-length	kʰɛːl˧siam˥˩	kʰɛl˧sia̯m˥˩ | kʰɛːl˧sia̯m˥˩		
919	อนุรักษนิยม	REVIEW	ʔa˨˩nu˦˥rak̚˦˥sa˨˩ni˦˥jom˧	ʔa˨˩nu˦˥rak̚˦˥ni˦˥jom˧ | ʔa˨˩nu˦˥rak̚˦˥sa˨˩ni˦˥jom˧		
911	ครุ	REVIEW	kʰa˦˥ruʔ˦˥	kʰa˦˥ruʔ˦˥ | kʰruʔ˦˥		
907	อุดมคติ	REVIEW	ʔu˨˩dom˧kʰa˦˥tiʔ˨˩	ʔu˨˩dom˧kʰa˦˥tiʔ˨˩ | ʔu˨˩dom˧ma˦˥kʰa˦˥tiʔ˨˩		
885	น้ำตา	vowel-length	naːm˦˥taː˧	nam˦˥taː˧ | naːm˦˥taː˧		
868	สุริยะ	REVIEW	su˨˩ri˦˥jaʔ˦˥	su˨˩ri˦˥jaʔ˦˥ | su˨˩ri˦˥ja˦˥		
845	มอนเตเนโกร	vowel-length	mɔːn˧teː˧neː˧kroː˧	mɔn˧teː˧neː˧kroː˧ | mɔːn˧teː˧neː˧kroː˧		
834	พยาธิ	REVIEW	pʰa˦˥jaːt̚˥˩	pʰa˦˥jaːt̚˥˩ | pʰa˦˥jaː˧tʰi˦˥		
829	เวนิส	REVIEW	wa˦˥nɤːt̚˥˩	weː˧nis˦˥ | weː˧nit̚˦˥		
824	ราชาธิปไตย	REVIEW	raː˧tɕʰaː˧tʰip̚˦˥pa˨˩taj˧	raː˧tɕʰaː˧tʰip̚˦˥pa˨˩taj˧ | raː˧tɕʰaː˧tʰi˦˥pa˨˩taj˧		
819	มาตร	sandhi	maːt̚˥˩	maːt̚˥˩ | maːt̚˥˩tra˨˩		
800	ธรรมนูญ	REVIEW	tʰam˧ma˦˥nuːn˧	tʰam˧ma˦˥nuːn˧ | tʰam˧nuːn˧		
797	กริยา	REVIEW	kri˨˩jaː˧	ka˨˩ri˦˥jaː˧ | kri˨˩jaː˧		
786	โสม	sandhi	soːm˩˩˦	soːm˩˩˦ | soːm˩˩˦ma˦˥		
779	ภ	sandhi	pʰɔː˧	pʰɔː˧ | pʰɔː˧sam˩˩˦pʰaw˧		
776	ออฟฟิศ	REVIEW	ʔɔːp̚˦˥fit̚˦˥	ʔɔːp̚˦˥fis˦˥ | ʔɔːp̚˦˥fit̚˦˥		
775	อาชญากร	REVIEW	ʔaːt̚˨˩jaː˧kɔːn˧	ʔaːt̚˨˩jaː˧kɔːn˧ | ʔaːt̚˨˩tɕʰa˦˥jaː˧kɔːn˧		
772	อุปนิสัย	REVIEW	ʔu˨˩pa˨˩ni˦˥saj˩˩˦	ʔup̚˨˩pa˨˩ni˦˥saj˩˩˦ | ʔu˨˩pa˨˩ni˦˥saj˩˩˦		
772	นาฏ	sandhi	naːt̚˥˩ta˨˩	naːt̚˥˩ | naːt̚˥˩ta˨˩ | naː˧ta˨˩		
771	เอว	vowel-length	ʔeːw˧	ʔew˧ | ʔeːw˧		
758	แจ๊ส	REVIEW	tɕɛːt̚˦˥	tɕɛːs˦˥ | tɕɛːt̚˦˥		
756	ศีลธรรม	REVIEW	siːn˩˩˦la˦˥tʰam˧	siːn˩˩˦la˦˥tʰam˧ | siːn˩˩˦tʰam˧		
755	ฟอสซิล	vowel-length	fɔːt̚˦˥sin˥˩	fɔt̚˦˥sil˥˩ | fɔːt̚˦˥sil˥˩		
754	เทศนา	REVIEW	tʰeːt̚˥˩sa˨˩naː˩˩˦	tʰeːt̚˥˩sa˨˩naː˩˩˦ | tʰeː˧sa˨˩naː˧		
753	อุปรากร	REVIEW	ʔu˨˩pa˨˩raː˧kɔːn˧	ʔup̚˨˩pa˨˩raː˧kɔːn˧ | ʔu˨˩pa˨˩raː˧kɔːn˧		
752	พอง	vowel-length	pʰɔːŋ˧	pʰɔŋ˧ | pʰɔːŋ˧		
738	ไรเฟิล	REVIEW	raj˧fɤl˥˩	raj˧fɤl˥˩ | raj˧fɤn˥˩		
738	ศักดิ	sandhi	sak̚˨˩di˨˩	sak̚˨˩ | sak̚˨˩di˨˩		
737	ปิโตรเลียม	tone-only	pi˨˩troː˧liam˧	pi˨˩troː˧lia̯m˥˩ | pi˨˩troː˧lia̯m˧		
734	อนาธิปไตย	REVIEW	ʔa˨˩naː˧tʰip̚˦˥pa˨˩taj˧	ʔa˨˩naː˧tʰip̚˦˥pa˨˩taj˧ | ʔa˨˩naː˧tʰi˦˥pa˨˩taj˧		
734	ประถม	sandhi	pra˨˩tʰom˩˩˦	pra˨˩tʰom˩˩˦ | pra˨˩tʰom˩˩˦ma˦˥		
729	ภูฏาน	REVIEW	pʰuː˧taːn˧	pʰuː˧taːn˧ | pʰuː˧tʰaːn˩˩˦		
717	ทิพ	sandhi	tʰip̚˦˥	tʰip̚˦˥ | tʰip̚˦˥pʰa˦˥		
688	ทะเลาะ	tone-only	tʰa˦˥lɔʔ˦˥	tʰa˦˥lɔʔ˦˥ | tʰa˧lɔʔ˦˥		
684	มอลตา	REVIEW	mɔl˧taː˥˩	mɔl˧taː˥˩ | mɔn˧taː˥˩		
683	มิค	sandhi	mik̚˦˥	mik̚˦˥ | mik̚˦˥kʰa˦˥ | mi˦˥kʰa˦˥		
678	โฆษณาชวนเชื่อ	REVIEW	kʰoː˧sa˨˩naː˧tɕʰuan˧tɕʰɯa˥˩	kʰoːt̚˥˩sa˨˩naː˧tɕʰua̯n˧tɕʰɯa̯˥˩ | kʰoː˧sa˨˩naː˧tɕʰua̯n˧tɕʰɯa̯˥˩		
666	ฆราวาส	sandhi	kʰa˦˥raː˧waːt̚˥˩	kʰa˦˥raː˧waːt̚˥˩ | kʰa˦˥raː˧waːt̚˥˩sa˨˩		
665	บรรพ	sandhi	bap̚˨˩	ban˧pʰa˦˥ | bap̚˨˩ | bap̚˨˩pʰa˦˥		
658	ไซปรัส	REVIEW	saj˧pras˦˥	saj˧pras˦˥ | saj˧prat̚˦˥		
658	มูลฐาน	REVIEW	muːn˧tʰaːn˩˩˦	muːn˧la˦˥tʰaːn˩˩˦ | muːn˧tʰaːn˩˩˦		
656	พุทธศาสนิกชน	REVIEW	pʰut̚˦˥tʰa˦˥saː˩˩˦sa˨˩nik̚˦˥ka˨˩tɕʰon˧	pʰut̚˦˥tʰa˦˥saːt̚˨˩sa˨˩nik̚˦˥ka˨˩tɕʰon˧ | pʰut̚˦˥tʰa˦˥saː˩˩˦sa˨˩nik̚˦˥ka˨˩tɕʰon˧		
656	ธัญ	sandhi	tʰan˧	tʰan˧ | tʰan˧ja˦˥		
653	แอลจีเรีย	REVIEW	ʔɛl˧tɕiː˧ria˧	ʔɛl˧tɕiː˧ria̯˧ | ʔɛn˧tɕiː˧ria̯˧ | ʔɛw˧tɕiː˧ria̯˧		
653	เจ้าของที่ดิน	vowel-length	tɕaːw˥˩kʰɔːŋ˩˩˦tʰiː˥˩din˧	tɕaw˥˩kʰɔːŋ˩˩˦tʰiː˥˩din˧ | tɕaːw˥˩kʰɔːŋ˩˩˦tʰiː˥˩din˧		
651	อุซเบกิสถาน	REVIEW	ʔus˦˥beː˧kis˦˥tʰaːn˩˩˦	ʔus˦˥beː˧kis˦˥tʰaːn˩˩˦ | ʔus˦˥beː˧kit̚˦˥sa˨˩tʰaːn˩˩˦		
643	สมาน	sandhi	sa˨˩maːn˩˩˦	sa˨˩maːn˩˩˦ | sa˨˩maːn˩˩˦naʔ˦˥ | sa˨˩maː˧naʔ˦˥		
638	โภชนาการ	REVIEW	pʰoː˧tɕʰa˦˥naː˧kaːn˧	pʰoːt̚˥˩tɕʰa˦˥naː˧kaːn˧ | pʰoː˧tɕʰa˦˥naː˧kaːn˧		
626	ไนโตรเจน	vowel-length	naj˧troː˧tɕeːn˧	naj˧troː˧tɕen˥˩ | naj˧troː˧tɕeːn˧		
619	อะลูมิเนียม	tone-only	ʔa˨˩luː˧mi˦˥niam˧	ʔa˨˩luː˧mi˦˥nia̯m˥˩ | ʔa˨˩luː˧mi˦˥nia̯m˧		
612	วิกฤติ	sandhi	wi˦˥krit̚˨˩	wi˦˥krit̚˨˩ | wi˦˥krit̚˨˩ti˨˩		
611	ทวาร	sandhi	tʰa˦˥waːn˧	tʰa˦˥waːn˧ | tʰa˦˥waː˧ra˦˥		
603	สวิตช์	tone-only	sa˨˩wit̚˦˥	sa˧wit̚˦˥ | sa˨˩wit̚˦˥		
602	เชิด	vowel-length	tɕʰɤːt̚˥˩	tɕʰɤt̚˥˩ | tɕʰɤːt̚˥˩		
601	เวทนา	REVIEW	weːt̚˥˩tʰa˦˥naː˧	weːt̚˥˩tʰa˦˥naː˧ | weː˧tʰa˦˥naː˧		
600	โศก	sandhi	soːk̚˨˩	soːk̚˨˩ | soːk̚˨˩ka˨˩ | soː˩˩˦ka˨˩		
591	เพนกวิน	vowel-length	pʰen˧kwin˥˩	pʰen˧kwin˥˩ | pʰeːn˧kwin˥˩		
587	กายวิภาคศาสตร์	REVIEW	kaːj˧ja˦˥wi˦˥pʰaːk̚˥˩kʰa˦˥saːt̚˨˩	kaːj˧ja˦˥wi˦˥pʰaːk̚˥˩kʰa˦˥saːt̚˨˩ | kaːj˧wi˦˥pʰaːk̚˥˩kʰa˦˥saːt̚˨˩		
586	ภูมิลำเนา	REVIEW	pʰuː˧mi˦˥lam˧naw˧	pʰuːm˧lam˧naw˧ | pʰuː˧mi˦˥lam˧naw˧		
586	ประชาธิปัตย์	REVIEW	pra˨˩tɕʰaː˧tʰi˦˥pat̚˨˩	pra˨˩tɕʰaː˧tʰip̚˦˥pat̚˨˩ | pra˨˩tɕʰaː˧tʰi˦˥pat̚˨˩		
586	กรรมาธิการ	REVIEW	kan˧maː˧tʰi˦˥kaːn˧	kam˧maː˧tʰi˦˥kaːn˧ | kan˧maː˧tʰi˦˥kaːn˧		
582	สำรับ	tone-only	sam˩˩˦rap̚˦˥	sam˩˩˦rap̚˦˥ | sam˩˩˦rap̚˨˩		
582	ภูติ	REVIEW	pʰuːt̚˥˩	pʰuːt̚˥˩ | pʰuː˧tiʔ˨˩		
582	กิเลส	sandhi	ki˨˩leːt̚˨˩	ki˨˩leːt̚˨˩ | ki˨˩leːt̚˨˩sa˨˩		
581	แฟ้ม	vowel-length	fɛːm˦˥	fɛm˦˥ | fɛːm˦˥		
575	ยิมนาสติก	REVIEW	jim˧naːs˦˥tik̚˨˩	jim˧naːs˦˥tik̚˨˩ | jim˧naːt̚˦˥sa˨˩tik̚˨˩		
575	มันฝรั่ง	tone-only	man˧fa˨˩raŋ˨˩	man˧fa˦˥raŋ˨˩ | man˧fa˨˩raŋ˨˩		
566	ฉันท์	sandhi	tɕʰan˩˩˦	tɕʰan˩˩˦ | tɕʰan˩˩˦tʰa˦˥		
564	ข้าวเหนียว	vowel-length	kʰaːw˥˩niaw˩˩˦	kʰaw˥˩nia̯w˩˩˦ | kʰaːw˥˩nia̯w˩˩˦		
552	ฐ	sandhi	tʰɔː˩˩˦	tʰɔː˩˩˦ | tʰɔː˩˩˦tʰaːn˩˩˦		
551	แซลมอน	REVIEW	sɛːl˧mɔn˥˩	sɛw˧mɔn˥˩ | sɛːl˧mɔn˥˩		
550	ปรสิต	sandhi	pa˨˩ra˦˥sit̚˨˩	pa˨˩ra˦˥sit̚˨˩ | pa˨˩ra˦˥sit̚˨˩ta˨˩ | pɔː˧ra˦˥sit̚˨˩ | pɔː˧ra˦˥sit̚˨˩ta˨˩		
548	สังขาร	sandhi	saŋ˩˩˦kʰaːn˩˩˦	saŋ˩˩˦kʰaːn˩˩˦ | saŋ˩˩˦kʰaːn˩˩˦ra˦˥ | saŋ˩˩˦kʰaː˩˩˦ra˦˥		
544	คริสต์ศาสนิกชน	REVIEW	kʰrit̚˦˥saː˩˩˦sa˨˩nik̚˦˥ka˨˩tɕʰon˧	kʰrit̚˦˥saːt̚˨˩sa˨˩nik̚˦˥ka˨˩tɕʰon˧ | kʰrit̚˦˥saː˩˩˦sa˨˩nik̚˦˥ka˨˩tɕʰon˧		
543	เวร	sandhi	weːn˧	weːn˧ | weː˧ra˦˥		
540	หายนะ	REVIEW	haː˩˩˦ja˦˥naʔ˦˥	haːj˩˩˦ja˦˥naʔ˦˥ | haː˩˩˦ja˦˥naʔ˦˥		
531	จาร	sandhi	tɕaːn˧	tɕaːn˧ | tɕaː˧ra˦˥		
528	วิบัติ	sandhi	wi˦˥bat̚˨˩	wi˦˥bat̚˨˩ | wi˦˥bat̚˨˩ti˨˩		
527	โปสเตอร์	REVIEW	poːt̚˨˩tɤː˥˩	poːs˦˥tɤː˥˩ | poːt̚˦˥tɤː˥˩		
523	ชลประทาน	REVIEW	tɕʰon˧la˦˥pra˨˩tʰaːn˧	tɕʰon˧la˦˥pra˨˩tʰaːn˧ | tɕʰon˧pra˨˩tʰaːn˧		
521	เหลา	REVIEW	law˩˩˦	heː˩˩˦laː˧ | law˩˩˦		
521	สังคายนา	REVIEW	saŋ˩˩˦kʰaː˧ja˦˥naː˧	saŋ˩˩˦kʰaːj˧ja˦˥naː˧ | saŋ˩˩˦kʰaː˧ja˦˥naː˧		
520	โศกนาฏกรรม	REVIEW	soːk̚˨˩ka˨˩naːt̚˥˩ta˨˩kam˧	soːk̚˨˩ka˨˩naːt̚˥˩ta˨˩kam˧ | soː˩˩˦ka˨˩naːt̚˥˩ta˨˩kam˧		
510	วิสามัญ	sandhi	wi˦˥saː˩˩˦man˧	wi˦˥saː˩˩˦man˧ | wi˦˥saː˩˩˦man˧ja˦˥		
508	กาก	REVIEW	kaːk̚˨˩	kaːk̚˨˩ | kaː˧ka˨˩		
505	ชาด	tone-only	tɕʰaːt̚˥˩	tɕʰaːt̚˥˩ | tɕʰaːt̚˦˥		
498	ไสย	sandhi	saj˩˩˦	saj˩˩˦ | saj˩˩˦ja˦˥		
497	วาร	sandhi	waːn˧	waːn˧ | waː˧ra˦˥		
490	หฤทัย	sandhi	ha˨˩rɯ˦˥tʰaj˧	ha˨˩rɯ˦˥tʰaj˧ | ha˨˩rɯ˦˥tʰaj˧ja˦˥		
486	น้ำยา	vowel-length	naːm˦˥jaː˧	nam˦˥jaː˧ | naːm˦˥jaː˧		
483	ลิสบอน	tone-only	lis˦˥bɔn˥˩	lis˦˥bɔn˥˩ | lis˦˥bɔn˧		
471	นักเทนนิส	REVIEW	nak̚˦˥tʰen˧nis˦˥	nak̚˦˥tʰen˧nis˦˥ | nak̚˦˥tʰen˧nit̚˦˥		
469	โอสถ	sandhi	ʔoː˧sot̚˨˩	ʔoː˧sa˨˩tʰa˨˩ | ʔoː˧sot̚˨˩ | ʔoː˧sot̚˨˩tʰa˨˩		
469	อุบัติ	sandhi	ʔu˨˩bat̚˨˩	ʔu˨˩bat̚˨˩ | ʔu˨˩bat̚˨˩ti˨˩		
458	โพแทสเซียม	vowel-length	pʰoː˧tʰɛs˦˥siam˥˩	pʰoː˧tʰɛs˦˥sia̯m˥˩ | pʰoː˧tʰɛːs˦˥sia̯m˥˩		
454	ทารุณ	sandhi	tʰaː˧run˧	tʰaː˧run˧ | tʰaː˧run˧na˦˥		
453	พีช	REVIEW	pʰiːt̚˦˥	pʰiːtɕʰ˦˥ | pʰiːt̚˦˥		
453	ดล	sandhi	don˧	don˧ | don˧la˦˥		
452	ลิฟต์	REVIEW	lip̚˦˥	lif˦˥ | lip̚˦˥		
447	เภสัช	sandhi	pʰeː˧sat̚˨˩	pʰeː˧sat̚˨˩ | pʰeː˧sat̚˨˩tɕʰa˦˥		
447	บะหมี่	tone-only	ba˨˩miː˨˩	ba˦˥miː˨˩ | ba˨˩miː˨˩		
441	โวลต์	REVIEW	woːn˦˥	woːl˦˥ | woːn˦˥		
437	เจ้าหนี้	vowel-length	tɕaːw˥˩niː˥˩	tɕaw˥˩niː˥˩ | tɕaːw˥˩niː˥˩		
436	รามัญ	sandhi	raː˧man˧	raː˧man˧ | raː˧man˧ja˦˥		
433	อัปโหลด	tone-only	ʔap̚˦˥loːt̚˨˩	ʔap̚˥˩loːt̚˨˩ | ʔap̚˦˥loːt̚˨˩		
432	ทาจิกิสถาน	REVIEW	tʰaː˧tɕi˨˩kis˦˥tʰaːn˩˩˦	tʰaː˧tɕi˨˩kis˦˥tʰaːn˩˩˦ | tʰaː˧tɕi˨˩kit̚˦˥sa˨˩tʰaːn˩˩˦		
428	แอลฟา	vowel-length	ʔɛːl˧faː˥˩	ʔɛl˧faː˥˩ | ʔɛːl˧faː˥˩		
424	กรณีพิพาท	REVIEW	kɔː˧ra˦˥niː˧pʰi˦˥pʰaːt̚˥˩	ka˨˩ra˦˥niː˧pʰi˦˥pʰaːt̚˥˩ | kɔː˧ra˦˥niː˧pʰi˦˥pʰaːt̚˥˩		
422	เคส	REVIEW	kʰeːt̚˦˥	kʰeːs˦˥ | kʰeːt̚˦˥		
422	ภูต	REVIEW	pʰuːt̚˥˩	pʰuːt̚˥˩ | pʰuː˧ta˨˩		
418	แมส	REVIEW	mɛːt̚˦˥	mɛːs˦˥ | mɛːt̚˦˥		
416	โทส	REVIEW	tʰoːt̚˥˩	tʰoːt̚˥˩ | tʰoː˧sa˨˩		
413	เปต	sandhi	peːt̚˨˩	peːt̚˨˩ | peːt̚˨˩ta˨˩ | peː˧ta˨˩		
412	เมลเบิร์น	REVIEW	mel˧bɤːn˧	mel˧bɤːn˧ | mew˧bɤːn˧		
409	สกล	sandhi	sa˨˩kon˧	sa˨˩kon˧ | sa˨˩kon˧la˦˥		
400	ซิมบับเว	tone-only	sim˧bap̚˨˩weː˧	sim˧bap̚˦˥weː˧ | sim˧bap̚˨˩weː˧		
398	อาชญา	REVIEW	ʔaːt̚˨˩jaː˧	ʔaːt̚˨˩jaː˧ | ʔaːt̚˨˩tɕʰa˦˥jaː˧		
393	โฮเต็ล	REVIEW	hoː˧ten˧	hoː˧tel˧ | hoː˧ten˧		
391	เพิกเฉย	vowel-length	pʰɤːk̚˥˩tɕʰɤːj˩˩˦	pʰɤːk̚˥˩tɕʰɤj˩˩˦ | pʰɤːk̚˥˩tɕʰɤːj˩˩˦		
391	รถบัส	REVIEW	rot̚˦˥bas˦˥	rot̚˦˥bas˦˥ | rot̚˦˥bat̚˦˥		
391	มอเตอร์ไซค์	tone-only	mɔː˧tɤː˧saj˧	mɔː˧tɤː˥˩saj˧ | mɔː˧tɤː˧saj˧		
390	ศัลยแพทย์	REVIEW	san˩˩˦ja˦˥pʰɛːt̚˥˩	san˩˩˦ja˦˥pʰɛːt̚˥˩ | san˩˩˦la˦˥ja˦˥pʰɛːt̚˥˩		
388	คช	sandhi	kʰot̚˦˥tɕʰa˦˥	kʰot̚˦˥ | kʰot̚˦˥tɕʰa˦˥		
384	พลาสมา	REVIEW	pʰlaːt̚˥˩maː˥˩	pʰlaːs˦˥maː˥˩ | pʰlaːt̚˦˥maː˥˩		
378	เฉย	vowel-length	tɕʰɤːj˩˩˦	tɕʰɤj˩˩˦ | tɕʰɤːj˩˩˦		
376	สงสาร	sandhi	soŋ˩˩˦saːn˩˩˦	soŋ˩˩˦saːn˩˩˦ | soŋ˩˩˦saː˩˩˦ra˦˥		
375	สุภาพสตรี	REVIEW	su˨˩pʰaːp̚˥˩sa˨˩triː˧	su˨˩pʰaːp̚˥˩sat̚˨˩triː˧ | su˨˩pʰaːp̚˥˩sa˨˩triː˧		
373	ศัลยกรรม	REVIEW	san˩˩˦ja˦˥kam˧	san˩˩˦ja˦˥kam˧ | san˩˩˦la˦˥ja˦˥kam˧		
371	เกษตรศาสตร์	REVIEW	ka˨˩seːt̚˨˩tra˨˩saːt̚˨˩	ka˨˩seːt̚˨˩saːt̚˨˩ | ka˨˩seːt̚˨˩tra˨˩saːt̚˨˩		
371	ดามัสกัส	REVIEW	daː˧mat̚˦˥kas˦˥	daː˧mas˦˥kat̚˦˥ | daː˧mat̚˦˥kas˦˥		
369	ฆาต	sandhi	kʰaːt̚˥˩	kʰaːt̚˥˩ | kʰaːt̚˥˩ta˨˩		
368	อุปโภค	REVIEW	ʔu˨˩pa˨˩pʰoːk̚˥˩	ʔup̚˨˩pa˨˩pʰoːk̚˥˩ | ʔu˨˩pa˨˩pʰoːk̚˥˩		
360	เยาว์	sandhi	jaw˧	jaw˧ | jaw˧waʔ˦˥		
357	ไมโครเวฟ	REVIEW	maj˧kʰroː˧weːp̚˦˥	maj˧kʰroː˧weːf˦˥ | maj˧kʰroː˧weːp̚˦˥		
357	เสวก	REVIEW	seː˩˩˦wok̚˦˥	seː˩˩˦wa˦˥ka˨˩ | seː˩˩˦wok̚˦˥		
355	เติร์กเมนิสถาน	REVIEW	tɤːk̚˦˥meː˧nis˦˥tʰaːn˩˩˦	tɤːk̚˦˥meː˧nis˦˥tʰaːn˩˩˦ | tɤːk̚˦˥meː˧nit̚˦˥sa˨˩tʰaːn˩˩˦		
355	อาคเนย์	REVIEW	ʔaː˧kʰa˦˥neː˧	ʔaːk̚˨˩kʰa˦˥neː˧ | ʔaː˧kʰa˦˥neː˧		
355	มัลดีฟส์	REVIEW	mal˧diːf˦˥	mal˧diːf˦˥ | man˧diːp̚˦˥		
348	สังข	sandhi	saŋ˩˩˦kʰa˨˩	saŋ˩˩˦ | saŋ˩˩˦kʰa˨˩		
346	นวม	REVIEW	nuam˧	na˦˥wa˦˥ma˦˥ | nua̯m˧		
343	งอน	vowel-length	ŋɔːn˧	ŋɔn˧ | ŋɔːn˧		
343	กฐิน	sandhi	ka˨˩tʰin˩˩˦	ka˨˩tʰin˩˩˦ | ka˨˩tʰin˩˩˦na˦˥		
341	มรณ	REVIEW	mɔː˧ra˦˥naʔ˦˥	ma˦˥ra˦˥na˦˥ | mɔː˧ra˦˥na˦˥		
339	มัชฌิม	sandhi	mat̚˦˥tɕʰim˧	mat̚˦˥tɕʰim˧ | mat̚˦˥tɕʰim˧ma˦˥ | mat̚˦˥tɕʰi˦˥ma˦˥		
339	ปักเป้า	tone-only	pak̚˨˩ka˨˩paw˥˩	pak̚˦˥ka˨˩paw˥˩ | pak̚˨˩ka˨˩paw˥˩		
338	เซเนกัล	tone-only	seː˧neː˧kal˥˩	seː˧neː˧kal˥˩ | seː˧neː˧kal˧		
333	น้ำใจ	vowel-length	naːm˦˥tɕaj˧	nam˦˥tɕaj˧ | naːm˦˥tɕaj˧		
324	วาดรูป	sandhi	waːt̚˥˩ruːp̚˥˩	waːt̚˥˩ruːp̚˥˩ | waːt̚˥˩ruːp̚˥˩pa˨˩		
320	วิจิตรศิลป์	REVIEW	wi˦˥tɕit̚˨˩sin˩˩˦	wi˦˥tɕit̚˨˩sin˩˩˦ | wi˦˥tɕit̚˨˩tra˨˩sin˩˩˦		
319	พลร่ม	REVIEW	pʰon˧rom˥˩	pʰon˧la˦˥rom˥˩ | pʰon˧rom˥˩		
318	ปัจเจก	sandhi	pat̚˨˩tɕeːk̚˨˩	pat̚˨˩tɕeːk̚˨˩ | pat̚˨˩tɕeːk̚˨˩ka˨˩ | pat̚˨˩tɕeː˧ka˨˩		
317	น้ำเกลือ	vowel-length	naːm˦˥klɯa˧	nam˦˥klɯa̯˧ | naːm˦˥klɯa̯˧		
