dan	d a n
dipantangkan	d i p a n t a ŋ k a n
dipecah-belah	d i p ə t͡ʃ a h b ə l a h
dipelesetkan	d i p ə l e s e t k a n
dipeluknya	d i p ə l u k ɲ a
dipeptida	d i p e p t i d a
diperaninya	d i p ə r a n i ɲ a
diperjualkan	d i p ə r d͡ʒ u a l k a n
diperkokoh	d i p ə r k o k o h
dipermandikan	d i p ə r m a n d i k a n
dipersaudarakan	d i p ə r s a w d a r a k a n
dipersimpangan	d i p ə r s i m p a ŋ a n
dipesankan	d i p ə s a n k a n
dipijak	d i p i d͡ʒ a k
dipinjamnya	d i p i n d͡ʒ a m ɲ a
diplomanya	d i p l o m a ɲ a
dipolitisir	d i p o l i t i s i r
dipromosi	d i p r o m o s i
dipura	d i p u r a
diputarbalikkan	d i p u t a r b a l i ʔ k a n
diputarnya	d i p u t a r ɲ a
diputuskannya	d i p u t u s k a n ɲ a
dirambatkan	d i r a m b a t k a n
dirapikan	d i r a p i k a n
diregistrasikan	d i r e ɡ i s t r a s i k a n
direklasifikasi	d i r e k l a s i f i k a s i
diridhoi	d i r i d h o i
diriset	d i r i s ə t
diromanisasikan	d i r o m a n i s a s i k a n
diruwat	d i r u w a t
disahkanlah	d i s a h k a n l a h
disaksikannya	d i s a k s i k a n ɲ a
disanggupi	d i s a ŋ ɡ u p i
disasar	d i s a s a r
disebarkannya	d i s ə b a r k a n ɲ a
diseberang	d i s ə b ə r a ŋ
diseberangkan	d i s ə b ə r a ŋ k a n
disegarkan	d i s ə ɡ a r k a n
disegerakan	d i s ə ɡ ə r a k a n
disemat	d i s ə m a t
disepak	d i s e p a k
disetir	d i s ə t i r
disetrika	d i s ə t r i k a
disitir	d i s i t i r
diskontinu	d i s k o n t i n u
dispenda	d i s p ə n d a
distabilisasi	d i s t a b i l i s a s i
distingtif	d i s t i ŋ t i f
disumbat	d i s u m b a t
diswastakan	d i s w a s t a k a n
ditajamkan	d i t a d͡ʒ a m k a n
ditaksirnya	d i t a k s i r ɲ a
ditakut-takuti	d i t a k u t t a k u t i
ditambahkanlah	d i t a m b a h k a n l a h
ditanamnya	d i t a n a m ɲ a
ditandingkan	d i t a n d i ŋ k a n
ditanggal	d i t a ŋ ɡ a l
ditarikh	d i t a r i x
ditasrifkan	d i t a s r i f k a n
ditegakkannya	d i t ə ɡ a ʔ k a n ɲ a
ditelurkan	d i t ə l u r k a n
diterbit	d i t ə r b i t
diterjemah	d i t ə r d͡ʒ ə m a h
ditirukan	d i t i r u k a n
ditugaskannya	d i t u ɡ a s k a n ɲ a
ditundanya	d i t u n d a ɲ a
ditundukan	d i t u n d u ʔ a n
ditutur	d i t u t u r
diuntai	d i u n t a i
diupacarai	d i u p a t͡ʃ a r a i
diuresis	d i u r e s i s
diuruk	d i u r u k
diusapkan	d i u s a p k a n
dizakatkan	d i z a k a t k a n
djabar	d e d͡ʒ e a b a r
doakan	d o a k a n
dobara	d o b a r a
dobra	d o b r a
dogol	d o ɡ o l
doihara	d o j h a r a
doka	d o k a
dokkiri	d o k k i r i
dolin	d o l i n
domin	d o m i n
dominated	d o m i n a t ə d
dompetku	d o m p e t k u
dongkal	d o ŋ k a l
doori	d o o r i
dorohoi	d o r o h o j
doronpa	d o r o n p a
dorpat	d o r p a t
dostum	d o s t u m
dougan	d o u ɡ a n
doukas	d o u k a s
doumei	d o u m e j
dowa	d o w a
dpr-mpr	d e p e e r e m p e e r
drakaina	d r a k a i n a
dsog	d s o ɡ
dua-per	d u a p e r
duaja	d u a d͡ʒ a
dube	d u b ə
dudukannya	d u d u k a n ɲ a
duduwetan	d u d u w e t a n
dugul	d u ɡ u l
duhai	d u h a j
duhulu	d u h u l u
dulag	d u l a ɡ
dumeling	d u m e l i ŋ
duoduo	d u o d u o
dup	d u p
durable	d u r a b l e
durajaya	d u r a d͡ʒ a j a
duralumin	d u r a l u m i n
durasim	d u r a s i m
duriannya	d u r i a n ɲ a
durning	d u r n i ŋ
dutanya	d u t a ɲ a
duw	d u w
duwetan	d u w ə t a n
dwigelar	d w i ɡ ə l a r
e-flat	e f l a t
e-sport	e s p o r t
ebisawa	ə b i s a w a
eblek	ə b l e k
ebonit	e b o n i t
edmundus	e d m u n d u s
edodes	e d o d e s
eicher	e i t͡ʃ h e r
eikosapentaenoat	e i k o s a p ə n t a ə n o a t
ekamantap	e k a m a n t a p
ekek	e k e ʔ
ekolokasi	e k o l o k a s i
ekonomik	e k o n o m i k
ekor-merah	e k o r m e r a h
eksitotoksisitas	ə k s i t o t o k s i s i t a s
eksokarp	e k s o k a r p
eksotermal	e k s o t ə r m a l
eksperimentalnya	e k s p e r i m e n t a l ɲ a
eksploitasinya	e k s p l o j t a s i ɲ a
eksresi	e k s r ə s i
ekstraknya	e k s t r a k ɲ a
ekstraktor	e k s t r a k t o r
ekstraversi	e k s t r a v ə r s i
ekstremnya	e k s t r e m ɲ a
eksudat	e k s u d a t
ektoderma	e k t o d ə r m a
ektoplasma	e k t o p l a s m a
ekuatornya	e k u a t o r ɲ a
elara	e l a r a
elektrodeposisi	e l e k t r o d e p o s i s i
elektrokardiografi	e l e k t r o k a r d i o ɡ r a f i
elongatum	ə l o n ɡ a t u m
elu	ə l u
emel	ə m ə l
emolien	e m o l i e n
empat-empat	ə m p a t ə m p a t
en-brie	e n b r i ə
en-men	e n m ə n
endomorfisme	e n d o m o r f i s m ə
energi-energi	e n e r ɡ i e n e r ɡ i
energi-tinggi	e n e r ɡ i t i ŋ ɡ i
enoshima	e n o s h i m a
ensiklopedia-ensiklopedia	e n s i k l o p e d i a e n s i k l o p e d i a
entalnya	ə n t a l ɲ a
entomolog	e n t o m o l o ɡ
epifisis	e p i f i s i s
epimer	e p i m e r
erakan	ə r a k a n
ergatif	e r ɡ a t i f
erinya	e r i ɲ a
eritate	e r i t a t e
essensial	e s s e n s i a l
esterase	e s t ə r a s ə
etanolamina	e t a n o l a m i n a
etnologis	e t n o l o ɡ i s
etuna	e t u n a
euroradar	e u r o r a d a r
evaluator	ə v a l u a t o r
fadholi	f a d h o l i
fagolisosom	f a ɡ o l i s o s o m
faites	f a j t e s
fakarava	f a k a r a v a
famosa	f a m o s a
fanfan	f a n f a n
fantasinya	f a n t a s i ɲ a
farmakognosi	f a r m a k o ɡ n o s i
farmasis	f a r m a s i s
fasade	f a s a d ə
fasenya	f a s ə ɲ a
feminimitas	f ə m i n i m i t a s
femtometer	f e m t o m e t ə r
fenolftalein	f e n o l f t a l e i n
fenomenalnya	f e n o m e n a l ɲ a
fesesnya	f e s e s ɲ a
filet	f i l e t
filimanus	f i l i m a n u s
filmkan	f i l ə m k a n
filostratos	f i l o e s t e e r a t o s
firaun-firaun	f i r a u n f i r a u n
firmanya	f i r m a ɲ a
fkh	f x
fkss	f k s s
fleksibilitasnya	f l e k s i b i l i t a s ɲ a
flotila	f l o t i l a
fluoridanya	f l u o r i d a ɲ a
fonepad	f o n e p a d
foolin	f o o l i n
forel	f o r e l
formasi-formasi	f o r m a s i f o r m a s i
formulaik	f o r m u l a i k
fosfatidilkolin	f o s f a t i d i l k o l i n
fosfolipida	f o s f o l i p i d a
fosforesen	f o s f o r e s e n
fotograf	f o t o ɡ r a f
fotokonduktif	f o t o k o n d u k t i f
fpk	f p k
freudian	f r e u d i a n
fuk	f u k
fundamen	f u n d a m e n
g-man	ɡ m a n
g-unit	ɡ u n i t
gabsi	ɡ a b s i
gadingkulon	ɡ a d i ŋ k u l o n
gadobangkong	ɡ a d o b a ŋ k o ŋ
gadong	ɡ a d o ŋ
gagu	ɡ a ɡ u
gahar	ɡ a h a r
gajah-oyo	ɡ a d͡ʒ a h o j o
gajahmati	ɡ a d͡ʒ a h m a t i
gajihan	ɡ a d͡ʒ i h a n
gakgan	ɡ a ʔ ɡ a n
galamedia	ɡ a l a m e d i a
galanga	ɡ a l a ŋ a
galeatus	ɡ a l e a t u s
galengan	ɡ a l ə ŋ a n
galeras	ɡ a l e r a s
galudra	ɡ a l u d r a
galur-galur	ɡ a l u r ɡ a l u r
gambar-nya	ɡ a m b a r ɲ a
gamboa	ɡ a m b o a
gambor	ɡ a m b o r
gambung	ɡ a m b u ŋ
gammel	ɡ a m m ə l
gandasubrata	ɡ a n d a s u b r a t a
gandumnya	ɡ a n d u m ɲ a
gangue	ɡ a n ɡ w e
ganjor	ɡ a n d͡ʒ o r
gantengnya	ɡ a n t ə ŋ ɲ a
gantungannya	ɡ a n t u ŋ a n ɲ a
gapai	ɡ a p a j
garan	ɡ a r a n
gargamel	ɡ a r ɡ a m ə l
garima	ɡ a r i m a
garisun	ɡ a r i s u n
garit	ɡ a r i t
garogas	ɡ a r o ɡ a s
garongan	ɡ a r o ŋ a n
garukan	ɡ a r u k a n
gaster	ɡ a s t ə r
gathotkaca	ɡ a t h o t k a t͡ʃ a
gation	ɡ a t i o n
gebanganom	ɡ ə b a ŋ a n o m
gebu	ɡ ə b u
gedebog	ɡ ə d e b o ɡ
gedok	ɡ ə d o k
gedongsongo	ɡ e d o ŋ s o ŋ o
gelamai	ɡ ə l a m a j
gele	ɡ ə l e
gelombang-p	ɡ ə l o m b a ŋ p
gembalaan	ɡ ə m b a l a a n
gembalanya	ɡ ə m b a l a ɲ a
gempol-pasuruan	ɡ ə m p o l p a s u r u a n
genali	ɡ e n a l i
genbei	ɡ e n b e e i
gending-gending	ɡ ə n d i ŋ ɡ ə n d i ŋ
generales	ɡ e n e r a l e s
gengster	ɡ e ŋ s t e r
genitali	ɡ e n i t a l i
genotipenya	ɡ e n o t i p ə ɲ a
gensou	ɡ e n s o u
genuki	ɡ ə n u k i
geohidrologi	ɡ e o h i d r o l o ɡ i
geokronologis	ɡ e o k r o n o l o ɡ i s
geologisnya	ɡ e o l o ɡ i s ɲ a
geomansi	ɡ e o m a n s i
geostrategis	ɡ e o s t r a t ə ɡ i s
geparang	ɡ e p a r a ŋ
gepsultra	ɡ e p s u l t r a
gerak-geriknya	ɡ ə r a k ɡ ə r i k ɲ a
gerau	ɡ ə r a w
geregetan	ɡ ə r ə ɡ ə t a n
geriten	ɡ e r i t ə n
germanat	ɡ ə r m a n a t
gerutuan	ɡ ə r u t u a n
ghauts	ɡ h a u t s
giardiasis	ɡ i a r d i a s i s
gigawatt	ɡ i ɡ a w a t t
gigi-geligi	ɡ i ɡ i ɡ ə l i ɡ i
giligenting	ɡ i l i ɡ ə n t i ŋ
gimnya	ɡ i m ɲ a
ginekolog	ɡ i n e k o l o ɡ
ginkaku	ɡ i n k a k u
gintungreja	ɡ i n t u ŋ r ə d͡ʒ a
girah	ɡ i r a h
girisa	ɡ i r i s a
giriyoso	ɡ i r i j o s o
giroskopik	ɡ i r o s k o p i k
gitarku	ɡ i t a r k u
gitik	ɡ i t i k
gletang	ɡ l ə t a ŋ
glipang	ɡ l i p a ŋ
glomerulosa	ɡ l o m ə r u l o s a
go-uda	ɡ o u d a
godek	ɡ o d e k
godi	ɡ o d i
goeslow	ɡ u s l o w
goledok	ɡ o l e d o k
golestan	ɡ o l e s t a n
goliad	ɡ o l i a d
gomoto	ɡ o m o t o
gonatas	ɡ o n a t a s
gondal	ɡ o n d a l
goodrem	ɡ o o d r e m
gorgom	ɡ o r ɡ o m
granatum	ɡ r a n a t u m
gratisnya	ɡ r a t i s ɲ a
gravitropisme	ɡ r a v i t r o p i s m ə
grayi	ɡ r a j i
greget	ɡ r ə ɡ ə t
grenggeng	ɡ r ə ŋ ɡ e ŋ
guaira	ɡ u a i r a
guaita	ɡ u a i t a
guci-guci	ɡ u t͡ʃ i ɡ u t͡ʃ i
gugatan-gugatan	ɡ u ɡ a t a n ɡ u ɡ a t a n
gulam	ɡ u l a m
guma	ɡ u m a
gumuling	ɡ u m u l i ŋ
gunaan	ɡ u n a a n
gundukan-gundukan	ɡ u n d u k a n ɡ u n d u k a n
gunpla	ɡ u n p l a
gunton	ɡ u n t o n
gunturmadu	ɡ u n t u r m a d u
gunungkencana	ɡ u n u ŋ k ə n t͡ʃ a n a
guro	ɡ u r o
h-c	h s e
ha-eung	h a e u ŋ
habanero	h a b a n ə r o
habisan	h a b i s a n
hadal	h a d a l
hadrosaurus	h a d r o s a u r u s
hailar	h a i l a r
hajang	h a d͡ʒ a ŋ
hajinya	h a d͡ʒ i ɲ a
hakaba	h a ʔ a b a
hakase	h a ʔ a s e
hakimnya	h a k i m ɲ a
hako	h a k o
halangan-halangan	h a l a ŋ a n h a l a ŋ a n
halau-halau	h a l a w h a l a w
haldeman	h a l d e m a n
halide	h a l i d e
halimun-salak	h a l i m u n s a l a k
halina	h a l i n a
halkah	h a l k a h
haloalkana	h a l o a l k a n a
haluannya	h a l u a n ɲ a
hamalat	h a m a l a t
hamana	h a m a n a
hamba-mu	h a m b a m u
hambaruan	h a m b a r u a n
hammel	h a m m ə l
hamton	h a m t o n
hanabilah	h a n a b i l a h
hanafuda	h a n a f u d a
hanagasa	h a n a ɡ a s a
hanalala	h a n a l a l a
hancurlah	h a n t͡ʃ u r l a h
hankamrata	h a n k a m r a t a
hanukah	h a n u k a h
haparanda	h a p a r a n d a
haptik	h a p t i k
haptoglobin	h a p t o ɡ l o b i n
hara-kiri	h a r a k i r i
haratai	h a r a t a j
hardadi	h a r d a d i
hariyo	h a r i j o
harlah	h a r l a h
harpers	h a r p e r s
hartopo	h a r t o p o
hashiru	h a s h i r u
hasmoni	h a s m o n i
hati-nya	h a t i ɲ a
haurkolot	h a u r k o l o t
hawara	h a w a r a
he-he	h ə h ə
hekto	h e k t o
helical	h ə l i t͡ʃ a l
hematite	h e m a t i t ə
hemostasis	h e m o s t a s i s
hena	h ə n a
hepatosplenomegali	h e p a t o s p l ə n o m e ɡ a l i
herlinda	h e r l i n d a
herlino	h e r l i n o
hermandad	h e r m a n d a d
herpesvirus	h e r p e s v i r u s
heterolitik	h e t ə r o l i t i k
heteroseksisme	h e t e r o s e k s i s m ə
hi-nrg	h a i n r ɡ
hidangan-hidangan	h i d a ŋ a n h i d a ŋ a n
hidesabur	h i d ə s a b u r
hidrometalurgi	h i d r o m e t a l u r ɡ i
hidrometeor	h i d r o m e t e o r
himawarigumi	h i m a w a r i ɡ u m i
hindang	h i n d a ŋ
hintalu	h i n t a l u
hipernefroma	h i p ə r n e f r o m a
hiperpolarisasi	h i p ə r p o l a r i s a s i
hipersekresi	h i p ə r s e k r e s i
hipertermia	h i p ə r t ə r m i a
hipogeal	h i p o ɡ e a l
hiponim	h i p o n i m
hiposmia	h i p o s m i a
hirasawa	h i r a s a w a
hiris	h i r i s
hisanori	h i s a n o r i
historika	h i s t o r i k a
historikal	h i s t o r i k a l
hitungannya	h i t u ŋ a n ɲ a
hiv-aids	h i v a i d s
hoho	h o h o
hokian	h o k i a n
holika	h o l i k a
holometabola	h o l o m e t a b o l a
holotipe	h o l o t i p ə
holyoke	h o l j o k ə
homeopati	h o m e o p a t i
homolitik	h o m o l i t i k
homophobia	h o m o p h o b i a
hongan-ji	h o ŋ a n d͡ʒ i
honorifik	h o n o r i f i k
hopkin	h o p k i n
horii	h o r i i
horizontalnya	h o r i z o n t a l ɲ a
hoshii	h o s h i i
hotei	h o t e i
hotgame	h o t ɡ a m ə
hukum-nya	h u k u m ɲ a
hulubalangnya	h u l u b a l a ŋ ɲ a
hulul	h u l u l
huntik	h u n t e i k a
hutabalian	h u t a b a l i a n
hutabargot	h u t a b a r ɡ o t
hutami	h u t a m i
hutan-sabana	h u t a n s a b a n a
huwa	h u w a
hyang-ak	h j a ŋ a k a
ia-cepa	i a t͡ʃ ə p a
iapangan	i a p a ŋ a n
iatrogenik	i a t r o ɡ e n i k
ibadatnya	i b a d a t ɲ a
ibon	i b o n
ibugang	i b u ɡ a ŋ
idai	i d a j
identitas-identitas	i d e n t i t a s i d e n t i t a s
idiologi	i d i o l o ɡ i
idolatry	i d o l a t r j
igal	i ɡ a l
ijambe	i d͡ʒ a m b ə
ikhtilaf	i x t i l a f
ikosahedral	i k o s a h ə d r a l
ikrarkan	i k r a r k a n
ikutnya	i k u t ɲ a
ilah-ilah	i l a h i l a h
ilahi-nya	i l a h i ɲ a
ilhamnya	i l h a m ɲ a
impala	i m p a l a
implikasi-implikasi	i m p l i k a s i i m p l i k a s i
impostor	i m p o s t o r
imprimatur	i m p r i m a t u r
imuni	i m u n i
imunogenik	i m u n o ɡ e n i k
imunokompeten	i m u n o k o m p ə t e n
imunomodulator	i m u n o m o d u l a t o r
indahku	i n d a h k u
inderanya	i n d ə r a ɲ a
india-amerika	i n d i a a m e r i k a
indik	i n d i k
individual-anarkisme	i n d i v i d u a l a n a r k i s m ə
indo-afrika	i n d o a f r i k a
indo-cina	i n d o t͡ʃ i n a
indonesia-nya	i n d o n e s i a ɲ a
indonesia-rusia	i n d o n e s i a r u s i a
indorayon	i n d o r a j o n
indrastra	i n d r a e s t e e r a
indrayanto	i n d r a j a n t o
indriana	i n d r i a n a
infabilitas	i n f a b i l i t a s
infauna	i n f a u n a
influencing	i n f l u e n t͡ʃ i ŋ
infomedia	i n f o m e d i a
informasional	i n f o r m a s i o n a l
informatik	i n f o r m a t e i k a
inggris-jepang	i ŋ ɡ r i s d͡ʒ ə p a ŋ
inggris-perancis	i ŋ ɡ r i s p ə r a n t͡ʃ i s
ingka	i ŋ k a
inha	i n h a
inromaru	i n r o m a r u
insaniah	i n s a n i a h
inseptisol	i n s e p t i s o l
instalasinya	i n s t a l a s i ɲ a
institusionalisme	i n s t i t u s i o n a l i s m ə
inteligencia	i n t ə l i ɡ e n t͡ʃ i a
interaksional	i n t ə r a k s i o n a l
interkalar	i n t ə r k a l a r
internationaal	i n t ə r n a t i o n a a l
interstitium	i n t ə r s t i t i u m
intrusions	i n t r u s i o n s
intuisionisme	i n t u i s i o n i s m ə
inudin	i n u d i n
iodofor	i o d o f o r
ionawi	i o n a w i
ipda	i p d a
iran-amerika	i r a n a m e r i k a
irben	i r b ə n
irisnya	i r i s ɲ a
iritabilitas	i r i t a b i l i t a s
irwasda	i r w a s d a
isauria	i s a u r i a
isinema	i s i n e m a
islambol	i s l a m b o l
isobarik	i s o b a r i k
isoetifolium	i s u t i f o l i u m
isoflavon	i s o f l a v o n
isoleusina	i s o l e u s i n a
isoptera	i s o p t ə r a
isotipe	i s o t i p ə
israel-gaza	i s r a ə l ɡ a z a
israel-lebanon	i s r a ə l l ə b a n o n
israel-yordania	i s r a ə l j o r d a n i a
isteri-isteri	i s t ə r i i s t ə r i
isyari	i ʃ a r i
itavia	i t a v i a
itera	i t ə r a
itu-r	i t u r
iturea	i t u r e a
iui	i u i
iwadare	i w a d a r ə
iwapi	i w a p i
j-min	d͡ʒ m i n
jabarkan	d͡ʒ a b a r k a n
jabi	d͡ʒ a b i
jailbreak	d͡ʒ a i l b r e k
jakarta-cirebon	d͡ʒ a k a r t a t͡ʃ i r ə b o n
jakarta-pontianak	d͡ʒ a k a r t a p o n t i a n a ʔ
jaladwara	d͡ʒ a l a d w a r a
jalan-mu	d͡ʒ a l a n m u
jalape	d͡ʒ a l a p ə
jalaran	d͡ʒ a l a r a n
jalen	d͡ʒ a l e n
jalur-tunggal	d͡ʒ a l u r t u ŋ ɡ a l
jambearum	d͡ʒ a m b ə a r u m
jameel	d͡ʒ a m ə ə l
jamilu	d͡ʒ a m i l u
jaminan-jaminan	d͡ʒ a m i n a n d͡ʒ a m i n a n
jamjaneng	d͡ʒ a m d͡ʒ a n e ŋ
janah	d͡ʒ a n a h
janggleng	d͡ʒ a ŋ ɡ l e ŋ
jantan-jantan	d͡ʒ a n t a n d͡ʒ a n t a n
jantera	d͡ʒ a n t ə r a
januari-februari	d͡ʒ a n u a r i f e b r u a r i
januri	d͡ʒ a n u r i
japurakidul	j a p u r a k i d u l
jariyah	d͡ʒ a r i j a h
jasirah	d͡ʒ a s i r a h
jasman	d͡ʒ a s m a n
jassby	d͡ʒ a s e s b e j e
jatamakuta	d͡ʒ a t a m a k u t a
jatidirinya	d͡ʒ a t i d i r i ɲ a
jatipohon	d͡ʒ a t i p o h o n
jauhi	d͡ʒ a u h i
jawaban-jawabannya	d͡ʒ a w a b a n d͡ʒ a w a b a n ɲ a
jawabku	d͡ʒ a w a b k u
jayadewa	d͡ʒ a j a d e w a
jayaraksa	d͡ʒ a j a r a k s a
jaziri	d͡ʒ a z i r i
jazlin	d͡ʒ a z l i n
jbb	d͡ʒ b b
jbi	d͡ʒ b i
jebeng	d͡ʒ ə b e ŋ
jeblugan	d͡ʒ ə b l u ɡ a n
jeka	d͡ʒ e k a
jelawat	d͡ʒ ə l a w a t
jeler	d͡ʒ ə l e r
jemblung	d͡ʒ ə m b l u ŋ
jenetallasa	d͡ʒ ə n e t a l l a s a
jenewer	d͡ʒ ə n e w ə r
jenisari	d͡ʒ ə n i s a r i
jenuhnya	d͡ʒ ə n u h ɲ a
jeriji	d͡ʒ ə r i d͡ʒ i
jerman-turki	d͡ʒ e r m a n t u r k i
jeruk-jerukan	d͡ʒ ə r u ʔ d͡ʒ ə r u ʔ a n
jetfoil	d͡ʒ e t f o i l
jetson	d͡ʒ e t s o n
jih	d͡ʒ i h
jihane	d͡ʒ i h a n e
jimbung	d͡ʒ i m b u ŋ
jin-jin	d͡ʒ i n d͡ʒ i n
jingjing	d͡ʒ i ŋ d͡ʒ i ŋ
jingo	d͡ʒ i ŋ o
jintara	d͡ʒ i n t a r a
jisim	d͡ʒ i s i m
jog	d͡ʒ o ɡ
jogan	d͡ʒ o ɡ a n
jojoba	d͡ʒ o d͡ʒ o b a
jolopong	d͡ʒ o l o p o ŋ
jonang	d͡ʒ o n a ŋ
joran	d͡ʒ o r a n
jorim	d͡ʒ o r i m
jotangan	d͡ʒ o t a ŋ a n
jua-jua	d͡ʒ u a d͡ʒ u a
jualannya	d͡ʒ u a l a n ɲ a
juangnya	d͡ʒ u a ŋ ɲ a
juli-oktober	d͡ʒ u l i o k t o b ə r
juliani	d͡ʒ u l i a n i
juliansyah	d͡ʒ u l i a n ʃ a h
julieta	d͡ʒ u l i e t a
jundab	d͡ʒ u n d a b
jurado	d͡ʒ u r a d o
jurang-jurang	d͡ʒ u r a ŋ d͡ʒ u r a ŋ
jurdil	d͡ʒ u r d i l
jurnalisnya	d͡ʒ u r n a l i s ɲ a
jurung	d͡ʒ u r u ŋ
kaabah	k a a b a h
kabaka	k a b a k a
kabarindonesia	k a b a r i n d o n e s i a
kabelmetal	k a b ə l m e t a l
kacembang	k a t͡ʃ ə m b a ŋ
kadai	k a d a j
kadireso	k a d i r e s o
kadirman	k a d i r m a n
kadmus	k a d m u s
kadokan	k a d o k a n
kaettekita	k a ə t t e k i t a
kafilahnya	k a f i l a h ɲ a
kagumnya	k a ɡ u m ɲ a
kahana	k a h a n a
kaiden	k a j d e n
kailolo	k a j l o l o
kaimoto	k a j m o t o
kainos	k a j n o s
kajongan	k a d͡ʒ o n ɡ a n
kakak-nya	k a k a ʔ ɲ a
kaki-kakinya	k a k i k a k i ɲ a
kaki-nya	k a k i ɲ a
kakuda	k a a k a u d a
kal-tim	k a l t i m
kalabakan	k a l a b a k a n
kalamai	k a l a m a j
kalampaian	k a l a m p a i a n
kalamwadi	k a l a m w a d i
kalaotoa	k a l a o t o a
kalibareng	k a l i b a r ə ŋ
kaliboyo	k a l i b o j o
kalicacing	k a l i t͡ʃ a t͡ʃ i ŋ
kalikidang	k a l i k i d a ŋ
kalikut	k a l i k u t
kalilangkap	k a l i l a ŋ k a p
kalimaya	k a l i m a j a
kalinago	k a l i n a ɡ o
kalipait	k a l i p a i t
kalisapu	k a l i s a p u
kaliyan	k a l i j a n
kalompoang	k a l o m p o a ŋ
kalorinya	k a l o r i ɲ a
kalukku	k a l u k k u
kamakari	k a m a k a r i
kamaludin	k a m a l u d i n
kamat	k a m a t
kambar	k a m b a r
kampit	k a m p i t
kamran	k a m r a n
kanafi	k a n a f i
kanan-nya	k a n a n ɲ a
kandabumi	k a n d a b u m i
kandan	k a n d a n
kandangmas	k a n d a ŋ m a s
kandidiasis	k a n d i d i a s i s
kandui	k a n d u i
kandungan-kandungan	k a n d u ŋ a n k a n d u ŋ a n
kanemoto	k a n e m o t o
kanetaka	k a n e t a k a
kanibungan	k a n i b u ŋ a n
kanjengan	k a n d͡ʒ ə ŋ a n
kanopan	k a n o p a n
kantonal	k a n t o n a l
kaomu	k a o m u
kapai	k a p a j
kapaknya	k a p a k ɲ a
kapan-kapan	k a p a n k a p a n
kapasitans	k a p a s i t a n s
kapel-kapel	k a p ə l k a p ə l
kapitang	k a p i t a ŋ
kaplongan	k a p l o ŋ a n
kapo	k a p o
kapolresta	k a p o l r e s t a
kapongan	k a p o n ɡ a n
kappel	k a p p ə l
kaprodi	k a p r o d i
karakalpakstan	k a r a k a l p a k s t a n
karamnya	k a r a m ɲ a
karangbanar	k a r a ŋ b a n a r
karangbesuki	k a r a ŋ b ə s u k i
karangdalem	k a r a ŋ d a l ə m
karangluas	k a r a ŋ l u a s
karangputat	k a r a ŋ p u t a t
karangraharja	k a r a ŋ r a h a r d͡ʒ a
karangwader	k a r a ŋ w a d ə r
karawang-bekasi	k a r a w a ŋ b ə k a s i
karboksilase	k a r b o k s i l a s ə
kardinal-kardinal	k a r d i n a l k a r d i n a l
kardiologis	k a r d i o l o ɡ i s
karenamu	k a r n a m u
karmapala	k a r m a p a l a
karnitin	k a r n i t i n
karoku	k a r o k u
karolos	k a r o l o s
karon	k a r o n
karpela	k a r p ə l a
karsinogenisitas	k a r s i n o ɡ e n i s i t a s
kartamantul	k a r t a m a n t u l
kartawiguna	k a r t a w i ɡ u n a
karteker	k a r t e k ə r
kartusian	k a r t u s i a n
kasanga	k a s a ŋ a
kasaumarsma	k a s a w m a r s m a
kaset-kaset	k a s e t k a s e t
kashin	k a s h i n
kasimin	k a s i m i n
kaskopkamtib	k a s k o p k a m t i b
kasmali	k a s m a l i
kaspase	k a s p a s ə
kassian	k a s s i a n
kassir	k a s s i r
kassoma	k a s s o m a
katah	k a t a h
kataha	k a t a h a
katalisasi	k a t a l i s a s i
katekol	k a t e k o l
katerban	k a t ə r b a n
kateterisasi	k a t e t ə r i s a s i
katika	k a t i k a
katolik-ortodoks	k a t o l i k o r t o d o k s
kauki	k a u k i
kaureh	k a u r ə h
kausnya	k a u s ɲ a
kavalan	k a v a l a n
kawahmanuk	k a w a h m a n u ʔ
kawulur	k a w u l u r
kaya-kaya	k a j a k a j a
kayuringin	k a j u r i ŋ i n
kdrt	k a d e e r t e
ke-duanya	k ə d u a ɲ a
ke-indonesiaan	k ə i n d o n e s i a a n
keampuhannya	k ə a m p u h a n ɲ a
keangkerannya	k ə a ŋ k ə r a n ɲ a
keawetannya	k ə a w e t a n ɲ a
kebangaan	k ə b a ŋ a a n
kebangkrutannya	k ə b a ŋ k r u t a n ɲ a
kebelakangan	k ə b ə l a k a ŋ a n
keberdayaan	k ə b ə r d a j a a n
keberlangsungannya	k ə b ə r l a ŋ s u ŋ a n ɲ a
kebersatuan	k ə b ə r s a t u a n
keberterimaan	k ə b ə r t ə r i m a a n
kebimbangannya	k ə b i m b a ŋ a n ɲ a
kebinatangan	k ə b i n a t a ŋ a n
kebingungannya	k ə b i ŋ u ŋ a n ɲ a
kebul	k ə b u l
kecanggungan	k ə t͡ʃ a ŋ ɡ u ŋ a n
keceme	k ə t͡ʃ ə m ə
kecoklat-coklatan	k ə t͡ʃ o k l a t t͡ʃ o k l a t a n
kecolongan	k ə t͡ʃ o l o ŋ a n
kedagingan	k ə d a ɡ i ŋ a n
kedamin	k ə d a m i n
kedermawanannya	k ə d ə r m a w a n a n ɲ a
keduakalinya	k ə d u a k a l i ɲ a
kedungdung	k ə d u ŋ d u ŋ
kedunggandu	k ə d u ŋ ɡ a n d u
kedungkarang	k ə d u ŋ k a r a ŋ
kedungleper	k ə d u ŋ l ə p ə r
